OS,TYPE,NAME,PRICE,RAM,STORAGE,HOME,BUSINESS,STUDENT,PROGRAMMING,BUSINESS FIELD,GAMING,CND,PRODUCTIVITY,ACCOUNTING,DSNA,MARKETING,PHOTO,ENTERTAINTMENT,UA,WEB SURFING
windows,Laptop,Lenovo ThinkPad X1 Carbon,1799.99,32,512,n,n,n,y,n,y,y,y,y,y,y,y,y,y,y
windows,Laptop,Lenovo Thinkbook 15,929.99,8,256,y,y,n,y,y,n,n,y,y,n,y,n,y,y,y
windows,Laptop,Lenovo Legion 15,1299.99,12,512,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y
windows,Desktop,Lenovo Idea Centre p350,889.99,32,2000,y,y,n,y,y,y,y,y,y,y,y,y,y,y,y
windows,Desktop,Lenovo ThinkStation P620,3020.99,64,2000,n,y,n,y,y,y,y,y,y,y,y,y,y,y,y
windows,Desktop,HP Omen GT22,1799.99,64,2000,n,y,n,y,y,y,y,y,y,y,y,y,y,y,y
windows,Desktop,HP Victus GT15,1399.99,32,1000,n,y,n,y,n,y,y,y,y,y,y,y,y,y,y
windows,Desktop,Dell Vostro,549.99,12,512,y,n,y,y,y,y,y,y,y,y,y,y,y,y,y
windows,Desktop,Dell OptiPlex,1299.99,32,512,y,y,n,y,n,y,y,y,y,y,y,y,y,y,y
ChromeOS,Laptop,Acer ChromeBook,879,8,256,y,n,y,n,n,n,n,y,y,n,n,n,y,y,y
ChromeOS,Laptop,Samsung Galaxy ChromeBook,549,4,64,y,n,y,n,n,n,n,y,y,n,n,n,y,y,y
ChromeOS,Laptop,Lenovo ThinkPad Yoga ChromeBook,349,8,256,y,n,y,n,n,n,n,y,y,n,n,n,y,y,y
ChromeOS,Laptop,Dell Latitude ChromeBook,1289,8,128,y,n,y,n,n,n,n,y,y,n,n,n,y,y,y
ChromeOS,Laptop,HP Elite ChromeBook,1499,16,256,y,n,y,n,n,n,n,y,y,n,n,y,y,y,y
